model,layer,representation,Representation,Condition,same_relation_group_rdm_corr,same_relation_group_rdm_std
openai-community/gpt2,1,standard,Neutral,No Ablation,0.28637720712707704,0.47372636264690476
openai-community/gpt2,1,standard,Neutral,Idiomaticity Ablation,0.18631770102243567,0.48506258800871704
openai-community/gpt2,1,standard,Neutral,Random Ablation,0.31052950170405946,0.5230405611149375
openai-community/gpt2,1,context,Figurative,No Ablation,0.2794765515336535,0.5654644109048775
openai-community/gpt2,1,context,Figurative,Idiomaticity Ablation,0.2346222901764005,0.640832791503889
openai-community/gpt2,1,context,Figurative,Random Ablation,0.2449732735665358,0.6193218257170693
openai-community/gpt2,1,no_context,Literal,No Ablation,0.2831283689837983,0.5820188052819122
openai-community/gpt2,1,no_context,Literal,Idiomaticity Ablation,0.24862509101668057,0.62901872445388
openai-community/gpt2,1,no_context,Literal,Random Ablation,0.22447279643969817,0.6273113474852436
openai-community/gpt2,2,standard,Neutral,No Ablation,0.21737065119284163,0.5586015702499542
openai-community/gpt2,2,standard,Neutral,Idiomaticity Ablation,0.1828673732257239,0.5265679533771588
openai-community/gpt2,2,standard,Neutral,Random Ablation,0.1483640952586062,0.6036693355361582
openai-community/gpt2,2,context,Figurative,No Ablation,0.22427130678626517,0.5685717276859706
openai-community/gpt2,2,context,Figurative,Idiomaticity Ablation,0.1449137674618944,0.6774953874381731
openai-community/gpt2,2,context,Figurative,Random Ablation,0.2863772071270771,0.596527650738202
openai-community/gpt2,2,no_context,Literal,No Ablation,0.20377082965942753,0.5665301762276633
openai-community/gpt2,2,no_context,Literal,Idiomaticity Ablation,0.20377082965942753,0.6831330223981514
openai-community/gpt2,2,no_context,Literal,Random Ablation,0.28312836898379834,0.621199442083331
openai-community/gpt2,3,standard,Neutral,No Ablation,0.24152294576982403,0.5990071149907353
openai-community/gpt2,3,standard,Neutral,Idiomaticity Ablation,0.15871507864874151,0.5201190339949209
openai-community/gpt2,3,standard,Neutral,Random Ablation,0.24842360136324756,0.5949789912257407
openai-community/gpt2,3,context,Figurative,No Ablation,0.3312314684843301,0.5930550444219203
openai-community/gpt2,3,context,Figurative,Idiomaticity Ablation,0.22427130678626517,0.6848270549840269
openai-community/gpt2,3,context,Figurative,Random Ablation,0.24842360136324756,0.6620315055083968
openai-community/gpt2,3,no_context,Literal,No Ablation,0.3107309913574925,0.5995804126037285
openai-community/gpt2,3,no_context,Literal,Idiomaticity Ablation,0.18641844584915218,0.6576283553828024
openai-community/gpt2,3,no_context,Literal,Random Ablation,0.24172443542325706,0.651738118135062
openai-community/gpt2,4,standard,Neutral,No Ablation,0.44164195797910677,0.5799835794063075
openai-community/gpt2,4,standard,Neutral,Idiomaticity Ablation,0.13111245627504733,0.5317983864299739
openai-community/gpt2,4,standard,Neutral,Random Ablation,0.35193343526460075,0.5846855076510303
openai-community/gpt2,4,context,Figurative,No Ablation,0.469244580352801,0.5578871707057758
openai-community/gpt2,4,context,Figurative,Idiomaticity Ablation,0.2794765515336535,0.6500824123579587
openai-community/gpt2,4,context,Figurative,Random Ablation,0.2863772071270771,0.665573508515848
openai-community/gpt2,4,no_context,Literal,No Ablation,0.3866382028851515,0.6431983965936676
openai-community/gpt2,4,no_context,Literal,Idiomaticity Ablation,0.24842360136324756,0.660951694798601
openai-community/gpt2,4,no_context,Literal,Random Ablation,0.28312836898379834,0.66237896230314
openai-community/gpt2,5,standard,Neutral,No Ablation,0.5002975305232069,0.48446091787922485
openai-community/gpt2,5,standard,Neutral,Idiomaticity Ablation,0.11386081729148848,0.5836155779767561
openai-community/gpt2,5,standard,Neutral,Random Ablation,0.3484831074678889,0.6029589735707761
openai-community/gpt2,5,context,Figurative,No Ablation,0.5313504806936129,0.48751068364361694
openai-community/gpt2,5,context,Figurative,Idiomaticity Ablation,0.362284418654736,0.6217774061970595
openai-community/gpt2,5,context,Figurative,Random Ablation,0.3691850742481596,0.6291623304801696
openai-community/gpt2,5,no_context,Literal,No Ablation,0.4176911530555574,0.5789265492259057
openai-community/gpt2,5,no_context,Literal,Idiomaticity Ablation,0.34163282428782366,0.6652771873874835
openai-community/gpt2,5,no_context,Literal,Random Ablation,0.31743015729748303,0.6204453085908387
openai-community/gpt2,6,standard,Neutral,No Ablation,0.514098841710054,0.4559004695053935
openai-community/gpt2,6,standard,Neutral,Idiomaticity Ablation,0.14146343966518266,0.5637776495172881
openai-community/gpt2,6,standard,Neutral,Random Ablation,0.34158245187446545,0.5865455773302826
openai-community/gpt2,6,context,Figurative,No Ablation,0.5175491695067658,0.46827952580239335
openai-community/gpt2,6,context,Figurative,Idiomaticity Ablation,0.35883409085802426,0.6479270976039853
openai-community/gpt2,6,context,Figurative,Random Ablation,0.3760857298415831,0.5993945357807408
openai-community/gpt2,6,no_context,Literal,No Ablation,0.3831878750884397,0.5630937891776259
openai-community/gpt2,6,no_context,Literal,Idiomaticity Ablation,0.34868459712132194,0.6661495223927756
openai-community/gpt2,6,no_context,Literal,Random Ablation,0.3521349249180338,0.6396829464382299
openai-community/gpt2,7,standard,Neutral,No Ablation,0.5313504806936129,0.42655876611831695
openai-community/gpt2,7,standard,Neutral,Idiomaticity Ablation,0.1725163898355886,0.5869615059983148
openai-community/gpt2,7,standard,Neutral,Random Ablation,0.393337368825142,0.5589531030673071
openai-community/gpt2,7,context,Figurative,No Ablation,0.5209994973034776,0.4935175010164523
