model,model_title,layer,representation,Representation,Condition,same_relation_group_rdm_corr,same_relation_group_rdm_std
openai-community/gpt2-medium,GPT-2 Medium,1,standard,Neutral,No Ablation,0.1449137674618944,0.5441900928378404
openai-community/gpt2-medium,GPT-2 Medium,1,standard,Neutral,Idiomaticity Ablation,0.17941704542901213,0.531126386178693
openai-community/gpt2-medium,GPT-2 Medium,1,standard,Neutral,Random Ablation,0.196668684412571,0.5521710397538585
openai-community/gpt2-medium,GPT-2 Medium,2,standard,Neutral,No Ablation,0.18976802881914745,0.5375761297138252
openai-community/gpt2-medium,GPT-2 Medium,2,standard,Neutral,Idiomaticity Ablation,0.19321835661585923,0.5938574464184707
openai-community/gpt2-medium,GPT-2 Medium,2,standard,Neutral,Random Ablation,0.11041048949477669,0.5404583592611351
openai-community/gpt2-medium,GPT-2 Medium,3,standard,Neutral,No Ablation,0.2104699955994181,0.571328860348107
openai-community/gpt2-medium,GPT-2 Medium,3,standard,Neutral,Idiomaticity Ablation,0.1345627840717591,0.5962082569994195
openai-community/gpt2-medium,GPT-2 Medium,3,standard,Neutral,Random Ablation,0.2104699955994181,0.634137960053609
openai-community/gpt2-medium,GPT-2 Medium,4,standard,Neutral,No Ablation,0.26567524034680645,0.5868702298350691
openai-community/gpt2-medium,GPT-2 Medium,4,standard,Neutral,Idiomaticity Ablation,0.1483640952586062,0.6012981987412933
openai-community/gpt2-medium,GPT-2 Medium,4,standard,Neutral,Random Ablation,0.2104699955994181,0.6181674145253473
openai-community/gpt2-medium,GPT-2 Medium,5,standard,Neutral,No Ablation,0.3036288461106359,0.6204453085908388
openai-community/gpt2-medium,GPT-2 Medium,5,standard,Neutral,Idiomaticity Ablation,0.16216540644545327,0.6503753495006522
openai-community/gpt2-medium,GPT-2 Medium,5,standard,Neutral,Random Ablation,0.2691255681435182,0.628262911299311
openai-community/gpt2-medium,GPT-2 Medium,6,standard,Neutral,No Ablation,0.40368835221527727,0.5624245981208759
openai-community/gpt2-medium,GPT-2 Medium,6,standard,Neutral,Idiomaticity Ablation,0.20011901220928277,0.6600505031182591
openai-community/gpt2-medium,GPT-2 Medium,6,standard,Neutral,Random Ablation,0.37263540204487133,0.5526559249918268
openai-community/gpt2-medium,GPT-2 Medium,7,standard,Neutral,No Ablation,0.43129097458897153,0.5558669762075233
openai-community/gpt2-medium,GPT-2 Medium,7,standard,Neutral,Idiomaticity Ablation,0.2794765515336535,0.6609787115655521
openai-community/gpt2-medium,GPT-2 Medium,7,standard,Neutral,Random Ablation,0.3691850742481596,0.5758120559779241
openai-community/gpt2-medium,GPT-2 Medium,8,standard,Neutral,No Ablation,0.5209994973034776,0.5021264306735432
openai-community/gpt2-medium,GPT-2 Medium,8,standard,Neutral,Idiomaticity Ablation,0.3381321240777536,0.6221697823707274
openai-community/gpt2-medium,GPT-2 Medium,8,standard,Neutral,Random Ablation,0.45889359696266563,0.522482626733268
openai-community/gpt2-medium,GPT-2 Medium,9,standard,Neutral,No Ablation,0.5348008084903246,0.5186406224333913
openai-community/gpt2-medium,GPT-2 Medium,9,standard,Neutral,Idiomaticity Ablation,0.3691850742481596,0.6036693355361583
openai-community/gpt2-medium,GPT-2 Medium,9,standard,Neutral,Random Ablation,0.4795955637429363,0.5035469430048444
openai-community/gpt2-medium,GPT-2 Medium,10,standard,Neutral,No Ablation,0.5624034308640188,0.46459147441084
openai-community/gpt2-medium,GPT-2 Medium,10,standard,Neutral,Idiomaticity Ablation,0.4312909745889714,0.5647903108571317
openai-community/gpt2-medium,GPT-2 Medium,10,standard,Neutral,Random Ablation,0.5106485139133422,0.4772939595359697
openai-community/gpt2-medium,GPT-2 Medium,11,standard,Neutral,No Ablation,0.6176086756114072,0.41831578411302545
openai-community/gpt2-medium,GPT-2 Medium,11,standard,Neutral,Idiomaticity Ablation,0.48649621933635984,0.4983186014704134
openai-community/gpt2-medium,GPT-2 Medium,11,standard,Neutral,Random Ablation,0.5140988417100539,0.4788254478657224
openai-community/gpt2-medium,GPT-2 Medium,12,standard,Neutral,No Ablation,0.6141583478146954,0.41912607490666426
openai-community/gpt2-medium,GPT-2 Medium,12,standard,Neutral,Idiomaticity Ablation,0.44509228577581855,0.5068459895696692
openai-community/gpt2-medium,GPT-2 Medium,12,standard,Neutral,Random Ablation,0.5417014640837482,0.47221615308891673
openai-community/gpt2-medium,GPT-2 Medium,13,standard,Neutral,No Ablation,0.6590126091719485,0.3770025893557662
openai-community/gpt2-medium,GPT-2 Medium,13,standard,Neutral,Idiomaticity Ablation,0.4761452359462245,0.5103220271833968
openai-community/gpt2-medium,GPT-2 Medium,13,standard,Neutral,Random Ablation,0.5555027752705952,0.46978971993050367
openai-community/gpt2-medium,GPT-2 Medium,14,standard,Neutral,No Ablation,0.6521119535785248,0.4102699459763396
openai-community/gpt2-medium,GPT-2 Medium,14,standard,Neutral,Idiomaticity Ablation,0.5106485139133422,0.5188815811320492
openai-community/gpt2-medium,GPT-2 Medium,14,standard,Neutral,Random Ablation,0.5727544142541542,0.4298947822543604
openai-community/gpt2-medium,GPT-2 Medium,15,standard,Neutral,No Ablation,0.6417609701883895,0.39587155203965557
openai-community/gpt2-medium,GPT-2 Medium,15,standard,Neutral,Idiomaticity Ablation,0.5106485139133422,0.5188815811320492
openai-community/gpt2-medium,GPT-2 Medium,15,standard,Neutral,Random Ablation,0.5865557254410011,0.4345221787314474
openai-community/gpt2-medium,GPT-2 Medium,16,standard,Neutral,No Ablation,0.6245093312048307,0.4044249297577041
openai-community/gpt2-medium,GPT-2 Medium,16,standard,Neutral,Idiomaticity Ablation,0.5313504806936129,0.5145964669617582
openai-community/gpt2-medium,GPT-2 Medium,16,standard,Neutral,Random Ablation,0.5796550698475776,0.41713307229228436
openai-community/gpt2-medium,GPT-2 Medium,17,standard,Neutral,No Ablation,0.6383106423916779,0.39693768252651934
openai-community/gpt2-medium,GPT-2 Medium,17,standard,Neutral,Idiomaticity Ablation,0.5382511362870365,0.4768947173418589
openai-community/gpt2-medium,GPT-2 Medium,17,standard,Neutral,Random Ablation,0.590006053237713,0.4120072814890534
openai-community/gpt2-medium,GPT-2 Medium,18,standard,Neutral,No Ablation,0.6176086756114072,0.395495469843419
openai-community/gpt2-medium,GPT-2 Medium,18,standard,Neutral,Idiomaticity Ablation,0.5451517918804599,0.4643992535164831
openai-community/gpt2-medium,GPT-2 Medium,18,standard,Neutral,Random Ablation,0.590006053237713,0.4306556463281142
openai-community/gpt2-medium,GPT-2 Medium,19,standard,Neutral,No Ablation,0.6107080200179834,0.3935642986131455
openai-community/gpt2-medium,GPT-2 Medium,19,standard,Neutral,Idiomaticity Ablation,0.5555027752705953,0.4415745636221536
openai-community/gpt2-medium,GPT-2 Medium,19,standard,Neutral,Random Ablation,0.6038073644245601,0.42137812450283163
openai-community/gpt2-medium,GPT-2 Medium,20,standard,Neutral,No Ablation,0.6245093312048307,0.35353655431665804
openai-community/gpt2-medium,GPT-2 Medium,20,standard,Neutral,Idiomaticity Ablation,0.558953103067307,0.4444900770224557
openai-community/gpt2-medium,GPT-2 Medium,20,standard,Neutral,Random Ablation,0.5969067088311366,0.39837467408506405
openai-community/gpt2-medium,GPT-2 Medium,21,standard,Neutral,No Ablation,0.6245093312048307,0.3432859421753797
openai-community/gpt2-medium,GPT-2 Medium,21,standard,Neutral,Idiomaticity Ablation,0.5658537586607306,0.44539976692961175
openai-community/gpt2-medium,GPT-2 Medium,21,standard,Neutral,Random Ablation,0.6003570366278483,0.3976717957598417
openai-community/gpt2-medium,GPT-2 Medium,22,standard,Neutral,No Ablation,0.6210590034081189,0.3545621041711674
